ED_1	Name	Type	Level	Position	Volume [ul]	Instrument Method
None	S00047.R1.T24.TR1	Unknown		GD11	25.0	MS_Catechol_Iso_25C_96W
None	S00047.R1.T24.TR2	Unknown		GD11	25.0	MS_Catechol_Iso_25C_96W
None	S00048.R1.T0.TR1	Unknown		GB12	25.0	MS_Catechol_Iso_25C_96W
None	S00048.R1.T0.TR2	Unknown		GB12	25.0	MS_Catechol_Iso_25C_96W
None	S00048.R1.T12.TR1	Unknown		GC12	25.0	MS_Catechol_Iso_25C_96W
None	S00048.R1.T12.TR2	Unknown		GC12	25.0	MS_Catechol_Iso_25C_96W
None	S00048.R1.T24.TR1	Unknown		GD12	25.0	MS_Catechol_Iso_25C_96W
None	S00048.R1.T24.TR2	Unknown		GD12	25.0	MS_Catechol_Iso_25C_96W
None	S00049.R1.T0.TR1	Unknown		GE1	25.0	MS_Catechol_Iso_25C_96W
None	S00049.R1.T0.TR2	Unknown		GE1	25.0	MS_Catechol_Iso_25C_96W
None	S00049.R1.T12.TR1	Unknown		GF1	25.0	MS_Catechol_Iso_25C_96W
None	S00049.R1.T12.TR2	Unknown		GF1	25.0	MS_Catechol_Iso_25C_96W
None	S00049.R1.T24.TR1	Unknown		GG1	25.0	MS_Catechol_Iso_25C_96W
None	S00049.R1.T24.TR2	Unknown		GG1	25.0	MS_Catechol_Iso_25C_96W
None	S00050.R1.T0.TR1	Unknown		GE2	25.0	MS_Catechol_Iso_25C_96W
None	S00050.R1.T0.TR2	Unknown		GE2	25.0	MS_Catechol_Iso_25C_96W
None	S00050.R1.T12.TR1	Unknown		GF2	25.0	MS_Catechol_Iso_25C_96W
None	S00050.R1.T12.TR2	Unknown		GF2	25.0	MS_Catechol_Iso_25C_96W
None	S00050.R1.T24.TR1	Unknown		GG2	25.0	MS_Catechol_Iso_25C_96W
None	S00050.R1.T24.TR2	Unknown		GG2	25.0	MS_Catechol_Iso_25C_96W
None	STD0_HClO4	Unknown		BA1	25.0	MS_Catechol_Iso_25C_Vial
None	STD1_100	Unknown		BA2	25.0	MS_Catechol_Iso_25C_Vial
None	STD2_50	Unknown		BA3	25.0	MS_Catechol_Iso_25C_Vial
None	STD3_25	Unknown		BA4	25.0	MS_Catechol_Iso_25C_Vial
None	STD4_12.5	Unknown		BA5	25.0	MS_Catechol_Iso_25C_Vial
None	STD5_6.25	Unknown		BA6	25.0	MS_Catechol_Iso_25C_Vial
None	S00051.R1.T0.TR1	Unknown		GE3	25.0	MS_Catechol_Iso_25C_96W
None	S00051.R1.T0.TR2	Unknown		GE3	25.0	MS_Catechol_Iso_25C_96W
None	S00051.R1.T12.TR1	Unknown		GF3	25.0	MS_Catechol_Iso_25C_96W
None	S00051.R1.T12.TR2	Unknown		GF3	25.0	MS_Catechol_Iso_25C_96W
None	S00051.R1.T24.TR1	Unknown		GG3	25.0	MS_Catechol_Iso_25C_96W
None	S00051.R1.T24.TR2	Unknown		GG3	25.0	MS_Catechol_Iso_25C_96W
None	S00052.R1.T0.TR1	Unknown		GE4	25.0	MS_Catechol_Iso_25C_96W
None	S00052.R1.T0.TR2	Unknown		GE4	25.0	MS_Catechol_Iso_25C_96W
None	S00052.R1.T12.TR1	Unknown		GF4	25.0	MS_Catechol_Iso_25C_96W
None	S00052.R1.T12.TR2	Unknown		GF4	25.0	MS_Catechol_Iso_25C_96W
None	S00052.R1.T24.TR1	Unknown		GG4	25.0	MS_Catechol_Iso_25C_96W
None	S00052.R1.T24.TR2	Unknown		GG4	25.0	MS_Catechol_Iso_25C_96W
None	S00053.R1.T0.TR1	Unknown		GE5	25.0	MS_Catechol_Iso_25C_96W
None	S00053.R1.T0.TR2	Unknown		GE5	25.0	MS_Catechol_Iso_25C_96W
None	S00053.R1.T12.TR1	Unknown		GF5	25.0	MS_Catechol_Iso_25C_96W
None	S00053.R1.T12.TR2	Unknown		GF5	25.0	MS_Catechol_Iso_25C_96W
None	S00053.R1.T24.TR1	Unknown		GG5	25.0	MS_Catechol_Iso_25C_96W
None	S00053.R1.T24.TR2	Unknown		GG5	25.0	MS_Catechol_Iso_25C_96W
None	S00054.R1.T0.TR1	Unknown		GE6	25.0	MS_Catechol_Iso_25C_96W
None	S00054.R1.T0.TR2	Unknown		GE6	25.0	MS_Catechol_Iso_25C_96W
None	S00054.R1.T12.TR1	Unknown		GF6	25.0	MS_Catechol_Iso_25C_96W
None	S00054.R1.T12.TR2	Unknown		GF6	25.0	MS_Catechol_Iso_25C_96W
None	S00054.R1.T24.TR1	Unknown		GG6	25.0	MS_Catechol_Iso_25C_96W
None	S00054.R1.T24.TR2	Unknown		GG6	25.0	MS_Catechol_Iso_25C_96W
None	S00055.R1.T0.TR1	Unknown		GE7	25.0	MS_Catechol_Iso_25C_96W
None	S00055.R1.T0.TR2	Unknown		GE7	25.0	MS_Catechol_Iso_25C_96W
None	S00055.R1.T12.TR1	Unknown		GF7	25.0	MS_Catechol_Iso_25C_96W
None	S00055.R1.T12.TR2	Unknown		GF7	25.0	MS_Catechol_Iso_25C_96W
None	S00055.R1.T24.TR1	Unknown		GG7	25.0	MS_Catechol_Iso_25C_96W
None	S00055.R1.T24.TR2	Unknown		GG7	25.0	MS_Catechol_Iso_25C_96W
None	S00056.R1.T0.TR1	Unknown		GE8	25.0	MS_Catechol_Iso_25C_96W
None	S00056.R1.T0.TR2	Unknown		GE8	25.0	MS_Catechol_Iso_25C_96W
None	S00056.R1.T12.TR1	Unknown		GF8	25.0	MS_Catechol_Iso_25C_96W
None	S00056.R1.T12.TR2	Unknown		GF8	25.0	MS_Catechol_Iso_25C_96W
None	S00056.R1.T24.TR1	Unknown		GG8	25.0	MS_Catechol_Iso_25C_96W
None	S00056.R1.T24.TR2	Unknown		GG8	25.0	MS_Catechol_Iso_25C_96W
None	S00057.R1.T0.TR1	Unknown		GE9	25.0	MS_Catechol_Iso_25C_96W
None	S00057.R1.T0.TR2	Unknown		GE9	25.0	MS_Catechol_Iso_25C_96W
None	S00057.R1.T12.TR1	Unknown		GF9	25.0	MS_Catechol_Iso_25C_96W
None	S00057.R1.T12.TR2	Unknown		GF9	25.0	MS_Catechol_Iso_25C_96W
None	S00057.R1.T24.TR1	Unknown		GG9	25.0	MS_Catechol_Iso_25C_96W
None	S00057.R1.T24.TR2	Unknown		GG9	25.0	MS_Catechol_Iso_25C_96W
None	S00058.R1.T0.TR1	Unknown		GE10	25.0	MS_Catechol_Iso_25C_96W
None	S00058.R1.T0.TR2	Unknown		GE10	25.0	MS_Catechol_Iso_25C_96W
None	S00058.R1.T12.TR1	Unknown		GF10	25.0	MS_Catechol_Iso_25C_96W
None	S00058.R1.T12.TR2	Unknown		GF10	25.0	MS_Catechol_Iso_25C_96W
None	S00058.R1.T24.TR1	Unknown		GG10	25.0	MS_Catechol_Iso_25C_96W
None	S00058.R1.T24.TR2	Unknown		GG10	25.0	MS_Catechol_Iso_25C_96W
None	S00059.R1.T0.TR1	Unknown		GE11	25.0	MS_Catechol_Iso_25C_96W
None	S00059.R1.T0.TR2	Unknown		GE11	25.0	MS_Catechol_Iso_25C_96W
None	S00059.R1.T12.TR1	Unknown		GF11	25.0	MS_Catechol_Iso_25C_96W
None	S00059.R1.T12.TR2	Unknown		GF11	25.0	MS_Catechol_Iso_25C_96W
None	S00059.R1.T24.TR1	Unknown		GG11	25.0	MS_Catechol_Iso_25C_96W
None	S00059.R1.T24.TR2	Unknown		GG11	25.0	MS_Catechol_Iso_25C_96W
None	S00060.R1.T0.TR1	Unknown		GE12	25.0	MS_Catechol_Iso_25C_96W
None	S00060.R1.T0.TR2	Unknown		GE12	25.0	MS_Catechol_Iso_25C_96W
None	S00060.R1.T12.TR1	Unknown		GF12	25.0	MS_Catechol_Iso_25C_96W
None	S00060.R1.T12.TR2	Unknown		GF12	25.0	MS_Catechol_Iso_25C_96W
None	S00060.R1.T24.TR1	Unknown		GG12	25.0	MS_Catechol_Iso_25C_96W
None	S00060.R1.T24.TR2	Unknown		GG12	25.0	MS_Catechol_Iso_25C_96W
None	S00061.R1.T0.TR1	Unknown		GH1	25.0	MS_Catechol_Iso_25C_96W
None	S00061.R1.T0.TR2	Unknown		GH1	25.0	MS_Catechol_Iso_25C_96W
None	S00061.R1.T12.TR1	Unknown		RA1	25.0	MS_Catechol_Iso_25C_96W
None	S00061.R1.T12.TR2	Unknown		RA1	25.0	MS_Catechol_Iso_25C_96W
None	S00061.R1.T24.TR1	Unknown		RB1	25.0	MS_Catechol_Iso_25C_96W
None	S00061.R1.T24.TR2	Unknown		RB1	25.0	MS_Catechol_Iso_25C_96W
None	S00062.R1.T0.TR1	Unknown		GH2	25.0	MS_Catechol_Iso_25C_96W
None	S00062.R1.T0.TR2	Unknown		GH2	25.0	MS_Catechol_Iso_25C_96W
None	S00062.R1.T12.TR1	Unknown		RA2	25.0	MS_Catechol_Iso_25C_96W
None	S00062.R1.T12.TR2	Unknown		RA2	25.0	MS_Catechol_Iso_25C_96W
None	S00062.R1.T24.TR1	Unknown		RB2	25.0	MS_Catechol_Iso_25C_96W
None	S00062.R1.T24.TR2	Unknown		RB2	25.0	MS_Catechol_Iso_25C_96W
None	S00063.R1.T0.TR1	Unknown		GH3	25.0	MS_Catechol_Iso_25C_96W
None	S00063.R1.T0.TR2	Unknown		GH3	25.0	MS_Catechol_Iso_25C_96W
None	S00063.R1.T12.TR1	Unknown		RA3	25.0	MS_Catechol_Iso_25C_96W
None	S00063.R1.T12.TR2	Unknown		RA3	25.0	MS_Catechol_Iso_25C_96W
None	S00063.R1.T24.TR1	Unknown		RB3	25.0	MS_Catechol_Iso_25C_96W
None	S00063.R1.T24.TR2	Unknown		RB3	25.0	MS_Catechol_Iso_25C_96W
None	S00064.R1.T0.TR1	Unknown		GH4	25.0	MS_Catechol_Iso_25C_96W
None	S00064.R1.T0.TR2	Unknown		GH4	25.0	MS_Catechol_Iso_25C_96W
None	S00064.R1.T12.TR1	Unknown		RA4	25.0	MS_Catechol_Iso_25C_96W
None	S00064.R1.T12.TR2	Unknown		RA4	25.0	MS_Catechol_Iso_25C_96W
None	S00064.R1.T24.TR1	Unknown		RB4	25.0	MS_Catechol_Iso_25C_96W
None	S00064.R1.T24.TR2	Unknown		RB4	25.0	MS_Catechol_Iso_25C_96W
None	S00065.R1.T0.TR1	Unknown		GH5	25.0	MS_Catechol_Iso_25C_96W
None	S00065.R1.T0.TR2	Unknown		GH5	25.0	MS_Catechol_Iso_25C_96W
None	S00065.R1.T12.TR1	Unknown		RA5	25.0	MS_Catechol_Iso_25C_96W
None	S00065.R1.T12.TR2	Unknown		RA5	25.0	MS_Catechol_Iso_25C_96W
None	S00065.R1.T24.TR1	Unknown		RB5	25.0	MS_Catechol_Iso_25C_96W
None	S00065.R1.T24.TR2	Unknown		RB5	25.0	MS_Catechol_Iso_25C_96W
None	S00066.R1.T0.TR1	Unknown		GH6	25.0	MS_Catechol_Iso_25C_96W
None	S00066.R1.T0.TR2	Unknown		GH6	25.0	MS_Catechol_Iso_25C_96W
None	S00066.R1.T12.TR1	Unknown		RA6	25.0	MS_Catechol_Iso_25C_96W
None	S00066.R1.T12.TR2	Unknown		RA6	25.0	MS_Catechol_Iso_25C_96W
None	S00066.R1.T24.TR1	Unknown		RB6	25.0	MS_Catechol_Iso_25C_96W
None	S00066.R1.T24.TR2	Unknown		RB6	25.0	MS_Catechol_Iso_25C_96W
None	S00067.R1.T0.TR1	Unknown		GH7	25.0	MS_Catechol_Iso_25C_96W
None	S00067.R1.T0.TR2	Unknown		GH7	25.0	MS_Catechol_Iso_25C_96W
None	S00067.R1.T12.TR1	Unknown		RA7	25.0	MS_Catechol_Iso_25C_96W
None	S00067.R1.T12.TR2	Unknown		RA7	25.0	MS_Catechol_Iso_25C_96W
None	S00067.R1.T24.TR1	Unknown		RB7	25.0	MS_Catechol_Iso_25C_96W
None	S00067.R1.T24.TR2	Unknown		RB7	25.0	MS_Catechol_Iso_25C_96W
None	S00068.R1.T0.TR1	Unknown		GH8	25.0	MS_Catechol_Iso_25C_96W
None	S00068.R1.T0.TR2	Unknown		GH8	25.0	MS_Catechol_Iso_25C_96W
None	S00068.R1.T12.TR1	Unknown		RA8	25.0	MS_Catechol_Iso_25C_96W
None	S00068.R1.T12.TR2	Unknown		RA8	25.0	MS_Catechol_Iso_25C_96W
None	S00068.R1.T24.TR1	Unknown		RB8	25.0	MS_Catechol_Iso_25C_96W
None	S00068.R1.T24.TR2	Unknown		RB8	25.0	MS_Catechol_Iso_25C_96W
None	S00069.R1.T0.TR1	Unknown		GH9	25.0	MS_Catechol_Iso_25C_96W
None	S00069.R1.T0.TR2	Unknown		GH9	25.0	MS_Catechol_Iso_25C_96W
None	S00069.R1.T12.TR1	Unknown		RA9	25.0	MS_Catechol_Iso_25C_96W
None	S00069.R1.T12.TR2	Unknown		RA9	25.0	MS_Catechol_Iso_25C_96W
None	S00069.R1.T24.TR1	Unknown		RB9	25.0	MS_Catechol_Iso_25C_96W
None	S00069.R1.T24.TR2	Unknown		RB9	25.0	MS_Catechol_Iso_25C_96W
None	S00070.R1.T0.TR1	Unknown		GH10	25.0	MS_Catechol_Iso_25C_96W
None	S00070.R1.T0.TR2	Unknown		GH10	25.0	MS_Catechol_Iso_25C_96W
None	S00070.R1.T12.TR1	Unknown		RA10	25.0	MS_Catechol_Iso_25C_96W
None	S00070.R1.T12.TR2	Unknown		RA10	25.0	MS_Catechol_Iso_25C_96W
None	S00070.R1.T24.TR1	Unknown		RB10	25.0	MS_Catechol_Iso_25C_96W
None	S00070.R1.T24.TR2	Unknown		RB10	25.0	MS_Catechol_Iso_25C_96W
None	STD0_HClO4	Unknown		BA1	25.0	MS_Catechol_Iso_25C_Vial
None	STD1_100	Unknown		BA2	25.0	MS_Catechol_Iso_25C_Vial
None	STD2_50	Unknown		BA3	25.0	MS_Catechol_Iso_25C_Vial
None	STD3_25	Unknown		BA4	25.0	MS_Catechol_Iso_25C_Vial
None	STD4_12.5	Unknown		BA5	25.0	MS_Catechol_Iso_25C_Vial
None	STD5_6.25	Unknown		BA6	25.0	MS_Catechol_Iso_25C_Vial
